site_no,watershed_label,watershed_area_miles2,watershed_area_km2,SPARROW_static_inc_load_2001_2005_kg_yr,dPL_inc_load_2016_2020_kg_yr,SPARROW_static_inc_yield_2001_2005_kg_km2_yr,dPL_inc_yield_2016_2020_kg_km2_yr,WRTDS_inc_load_2001_2005_kg_yr,WRTDS_inc_load_2016_2020_kg_yr,mean_discharge_2001_2005_m3_s,mean_discharge_2016_2020_m3_s,residual_yield_2001_2005_kg_ha_yr,residual_yield_2016_2020_kg_ha_yr
USGS-05580000,S2_7_3_2,227.0,587.92773,1052133.9991500662,1392773.067499475,17.895634879308485,23.68952843063679,1324167.1161898319,1265467.1048990018,4.874396054647013,6.621259394502895,4.626982248987741,-2.165333528331336
USGS-05582000,S2_7_3,1363.0,3530.1563699999997,5840144.21430859,5947139.317395685,16.54358504892119,16.846673897892195,5231963.915641613,5635522.075566175,40.88419285599222,47.53302802915428,-1.7228140482257912,-0.8827292877950046
USGS-05583000,S2_7,564.0,1460.75436,5245367.122330472,2915829.7945968546,35.90861862860003,19.961123337649013,586209.3586134836,1363757.2863846198,115.26568070279272,134.82481973237037,-31.89555952252635,-10.625143766212924
USGS-05584500,S2_8_1,655.0,1696.4434499999998,1614920.6570933159,2418449.655393234,9.519448803868565,14.25599925180668,1977066.8108468838,2060013.0828636617,13.786577813432313,14.796461633660053,2.1347375519859977,-2.11287073865959
USGS-05585000,S2_8,638.0,1652.4136199999998,1233654.5622125901,1232126.123438614,7.465773383135091,7.456523648350309,1238186.3977469816,1323453.0260066383,24.019985095418043,31.718087670376764,0.02742555180821772,0.5526879073293063
USGS-05586100,S2,5300.0,13726.946999999998,-24040624.54667668,-17066477.433950976,-17.51345331680576,-12.432828242107277,-8339405.00368309,4526584.589817762,614.6962670416408,916.7406584112941,11.43824591367155,15.730418441747274
USGS-05587000,S9,868.0,2248.11132,1436075.5672548315,1728591.022903286,6.387920182061232,7.689081085643419,2053046.156395026,2457008.655183998,18.626098055686516,21.176119935696647,2.7443951892035066,3.2401315086154723
USGS-05587900,S13,212.0,549.0778799999999,335162.3754451102,411647.53583055054,6.104095387071689,7.497070102888694,209803.11977084324,266044.7010987472,4.848007353911353,7.35914969001397,-2.283086976191191,-2.651770177516591
USGS-05591200,S4_2_2_1_1,473.0,1225.0652699999998,3010607.3075868837,3774755.8145527886,24.57507678416909,30.812691429516967,3430983.4092553956,3445261.547063303,12.8732253581762,14.327283283410603,3.4314588125456535,-2.689605815774089
USGS-05592100,S4_2_2_1,857.0,2219.6214299999997,1483282.6121674073,2005285.3564240914,6.682592770639304,9.034357522958732,1083476.9106932906,1476984.7202168936,34.371747802189745,42.588347484734605,-1.8012337422517888,-2.3801384734657107
USGS-05592500,S4_2_2,610.0,1579.8938999999998,271102.2275940506,58107.80167887639,1.715952112949171,0.367795594874291,1482328.1489200601,-257227.91396148782,50.28689985994736,61.12405371257273,7.666501663978889,-1.9959296990789335
USGS-05592800,S4_2_1,152.0,393.67848,150369.49988567102,266454.4609597818,3.819601718785112,6.768326807190014,125947.70715556615,231117.58786131704,3.831800935410711,6.025044825583615,-0.6203486847974231,-0.897607435856406
USGS-05593000,S4_2,627.0,1623.92373,707334.6671661334,-888043.8066311358,4.355713597252092,-5.468506865350971,-2299160.885319144,-2072929.800735233,65.6612899794617,92.22755291136691,-18.513773134439493,-7.296438694840042
USGS-05594000,S4_1,735.0,1903.6426499999998,845676.0348400552,1258903.4355523388,4.442409581651552,6.613128969096899,706381.0863717381,935538.8578236215,18.548686378487012,24.5999139225027,-0.7317284494982136,-1.698662181837108
USGS-05594100,S4,939.0,2432.0006099999996,-1023245.645178101,-1088146.242197942,-4.207423472554561,-4.474284413102767,188661.438936593,552048.8080872013,105.11140060559262,146.54857030798112,4.9831693262391665,6.744221377005097
USGS-05594450,S8_1,154.0,398.85846,226167.6366396924,313966.9155407656,5.670373310865524,7.871637360801263,155668.1856534832,207188.64899734655,3.942691952515679,5.708884224077365,-1.767530541691637,-2.677096695991332
USGS-05594800,S8,310.0,802.8969,352393.4397515662,465034.7207810362,4.389024789503686,5.791960596448139,347524.6294449092,583917.5400602114,11.10593505545093,17.47404823248279,-0.06064054185110179,1.4806735370279205
USGS-05595200,S14,129.0,334.10871,189238.8337501292,272100.4695630608,5.663989835827065,8.144069921525267,305759.6044705763,323271.98397350684,3.320438958962749,5.860453744171462,3.4875107183062384,1.5315827716806918
USGS-05595730,S7_1,88.0,227.91912,39409.25185086374,91865.21342659101,1.72908933005988,4.030605831866629,115272.77784148706,139609.30595470755,1.879307683360347,3.272367325028855,3.3285283828150667,2.0947822424075935
USGS-05597000,S7,704.0,1823.35296,273554.48435157246,508469.80617119814,1.500282667989704,2.788652648860691,88492.62293898247,128943.5334367642,17.92973998975061,28.948547481569342,-1.014953579874025,-2.0814745200755533
USGS-05599490,S18,2159.0,5591.788409999999,998761.805802721,1880198.649979158,1.786122314672348,3.362428103711382,831700.4327020447,1426194.734946786,52.937223170910876,77.08489958610463,-0.298761971754715,-0.8119118281021871
